=== Training Session Started ===
Device: cuda
Network Architecture: [20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 8]
Number of Inputs: 8
Learning Rate: 0.1 (initial)
Training samples: 52
Patience: 200
Step 0870 | Loss = 6.206834 | LR = 0.012500 | Correct: 46/52 | Patience: 36/200
Step 0880 | Loss = 6.207600 | LR = 0.012500 | Correct: 48/52 | Patience: 46/200
Step 0890 | Loss = 6.263427 | LR = 0.006250 | Correct: 48/52 | Patience: 56/200
Step 0900 | Loss = 6.230741 | LR = 0.006250 | Correct: 47/52 | Patience: 66/200
Step 0910 | Loss = 6.261743 | LR = 0.006250 | Correct: 47/52 | Patience: 76/200
Step 0920 | Loss = 6.239598 | LR = 0.006250 | Correct: 48/52 | Patience: 86/200
Step 0930 | Loss = 6.218166 | LR = 0.006250 | Correct: 48/52 | Patience: 96/200
Step 0940 | Loss = 6.235985 | LR = 0.003125 | Correct: 48/52 | Patience: 106/200
Step 0950 | Loss = 6.244696 | LR = 0.003125 | Correct: 48/52 | Patience: 116/200
Step 0960 | Loss = 6.254159 | LR = 0.003125 | Correct: 48/52 | Patience: 126/200
Step 0970 | Loss = 7.748536 | LR = 0.003125 | Correct: 48/52 | Patience: 136/200
Step 0980 | Loss = 8.016292 | LR = 0.003125 | Correct: 47/52 | Patience: 146/200
Step 0990 | Loss = 6.289839 | LR = 0.001563 | Correct: 48/52 | Patience: 156/200
Step 1000 | Loss = 6.268924 | LR = 0.001563 | Correct: 48/52 | Patience: 166/200
Step 1010 | Loss = 6.303545 | LR = 0.001563 | Correct: 48/52 | Patience: 176/200
Step 1020 | Loss = 6.273870 | LR = 0.001563 | Correct: 48/52 | Patience: 186/200
Step 1030 | Loss = 9.478579 | LR = 0.001563 | Correct: 48/52 | Patience: 196/200
